nombre_real;nombre_ficticio;equipo;posicion;edad;media;dorsal;salario_millones;anios_contrato
Brandon Williams;Brandun Williems;DAL;PG;26;80;;;
Daniel Gafford;Taniel Gaffort;DAL;C;27;80;;;
Khris Middleton;Khriz Mitdleton;DAL;SF;34;80;;;
Klay Thompson;Kley Thompzon;DAL;SF;35;78;31;;
John Poulakidas;Juhn Poulakides;DAL;SG;22;78;;;
D'Angelo Russell;D'Engelo Ruzsell;DAL;PG;29;78;;;
Ryan Nembhard;Ryen Nemphard;DAL;PG;22;77;;;
Dereck Lively II;Deleck Libely II;DAL;C;21;76;;;
Caleb Martin;Kaleb Maltin;DAL;SF;30;74;;;
Moussa Cisse;Noussa Kisse;DAL;C;23;74;;;
Jeremiah Robinson-Earl;Jiremiah Rubinson-Earl;DAL;PF;25;74;;;
Dwight Powell;Twight Powill;DAL;C;34;72;;;
Tyler Smith;Tylir Zmith;DAL;PF;21;71;;;
Miles Kelly;Milis Killy;DAL;PG;23;70;;;
AJ Johnson;AJ Johnzun;DAL;SG;21;70;;;
Nikola Jokić;Nikole Jukić;DEN;C;30;98;15;;
Jamal Murray;Yamal Mulray;DEN;PG;28;89;27;;
Peyton Watson;Piyton Wetson;DEN;SF;23;83;;;
Christian Braun;Khristian Blaun;DEN;SG;24;82;;;
Aaron Gordon;Aeron Gordun;DEN;PF;30;82;32;;
Cameron Johnson;Caneron Juhnson;DEN;SF;29;80;;;
Tim Hardaway Jr.;Tim Haldaway Jl.;DEN;SG;33;79;;;
David Roddy;Dabid Ruddy;DEN;PF;24;77;;;
Jonas Valančiūnas;Jones Valančiūnaz;DEN;C;33;77;;;
Spencer Jones;Zpencer Jonis;DEN;SF;24;76;;;
Julian Strawther;Yulian Strawthel;DEN;SG;23;76;;;
Bruce Brown;Pruce Bruwn;DEN;SG;29;75;;;
Jalen Pickett;Jalin Pickitt;DEN;SG;26;75;;;
KJ Simpson;KJ Zinpson;DEN;PG;23;75;;;
Tyus Jones;Tyuz Junes;DEN;PG;29;72;;;
Zeke Nnaji;Zike Nneji;DEN;PF;25;71;;;
Curtis Jones;Kurtis Jonis;DEN;SG;24;70;;;
DaRon Holmes;DeRon Holmez;DEN;PF;23;70;;;
Hunter Tyson;Huntir Tysun;DEN;PF;25;68;;;
Cade Cunningham;Kade Cunninghan;DET;PG;24;94;2;;
Jalen Duren;Jalin Dulen;DET;C;22;84;;;
Ausar Thompson;Ausal Thonpson;DET;SF;23;83;9;;
Tobias Harris;Tobiaz Harriz;DET;PF;33;82;;;
Caris LeVert;Karis LeVelt;DET;SG;31;80;;;
Daniss Jenkins;Danisz Jenkinz;DET;PG;24;80;;;
Kevin Huerter;Kebin Huertel;DET;SF;27;80;;;
Isaiah Stewart;Iseiah Stiwart;DET;C;24;80;;;
Duncan Robinson;Tuncan Ropinson;DET;SF;31;79;;;
Ron Holland;Run Hollant;DET;SF;20;79;;;
Javonte Green;Jevonte Grein;DET;SG;32;78;;;
Paul Reed;Peul Leed;DET;C;26;77;;;
Marcus Sasser;Narcus Sesser;DET;PG;25;74;;;
Colby Jones;Culby Junes;DET;SG;23;72;;;
Tolu Smith;Tulu Snith;DET;PF;25;71;;;
Bobi Klintman;Bopi Klintnan;DET;SF;22;68;;;
Wendell Moore Jr.;Wentell Muore Jr.;DET;SG;24;68;;;
Chaz Lanier;Chez Lenier;DET;SG;24;68;;;
Isaac Jones;Izaac Jonez;DET;PF;25;65;;;
Cameron Payne;Camelon Payni;FA;PG;31;75;;;
Hayden Gray;Haydin Glay;FA;SG / PG;22;75;;;
Leaky Black;Liaky Bleck;FA;SF;26;73;;;
Dario Šarić;Tario Šerić;FA;C;31;72;;;
Tyler Burton;Tylir Burtun;FA;SF;25;68;;;
Drew Peterson;Dlew Piterson;FA;PF;26;66;;;
Stephen Curry;Ztephen Culry;GSW;PG;37;95;30;;
Jimmy Butler;Yimmy Butlir;GSW;SF;36;87;22;;
Brandin Podziemski;Blandin Pudziemski;GSW;SG;22;84;;;
Kristaps Porziņģis;Kristapz Purziņģis;GSW;C;30;83;8;;
Moses Moody;Muses Moudy;GSW;SG;23;82;;;
Draymond Green;Draymont Grien;GSW;PF;35;82;23;;
Gui Santos;Gui Zantos;GSW;PF;23;80;;;
Al Horford;Al Holfurd;GSW;C;39;80;42;;
Gary Payton II;Gery Peyton II;GSW;SG;33;80;;;
De'Anthony Melton;Te'Anthony Milton;GSW;PG;27;79;;;
Pat Spencer;Pet Spincer;GSW;PG;29;79;;;
Quinten Post;Quintin Pust;GSW;PF;25;78;;;
Will Richard;Will Rikhard;GSW;SG;23;78;;;
Nate Williams;Nete Willians;GSW;SG;26;76;;;
LJ Cryer;LY Clyer;GSW;PG;24;74;;;
Seth Curry;Zeth Curly;GSW;SG;35;74;;;
Charles Bassey;Cherles Bessey;GSW;C;25;73;;;
Malevy Leons;Melevy Lions;GSW;SF;26;72;;;
Omer Yurtseven;Omel Yurtzeven;GSW;C;27;70;;;
Kevin Durant;Kivin Turant;HOU;SF;37;92;35;;
Alperen Şengün;Alperin Şingün;HOU;C;23;88;28;;
Amen Thompson;Amin Thompsun;HOU;PG;23;87;1;;
Reed Sheppard;Reet Shippard;HOU;SG;21;84;15;;
Jabari Smith Jr.;Yabari Zmith Jr.;HOU;PF;22;83;10;;
Tari Eason;Teri Eeson;HOU;PF;24;82;;;
Tristen Newton;Tristin Newtun;HOU;SG;24;80;;;
Steven Adams;Zteven Atams;HOU;C;32;77;;;
Josh Okogie;Yosh Ukogie;HOU;SG;27;76;;;
Aaron Holiday;Aarun Huliday;HOU;PG;29;73;;;
Clint Capela;Klint Kapela;HOU;C;31;72;;;
Dorian Finney-Smith;Torian Finniy-Smith;HOU;PF;32;71;;;
Jae'Sean Tate;Jee'Sean Tete;HOU;SF;30;70;;;
JD Davison;JD Davizun;HOU;PG;23;69;;;
Isaiah Crawford;Izaiah Crawfort;HOU;SF;24;67;;;
Jeff Green;Jiff Grein;HOU;PF;39;67;;;
Pascal Siakam;Pescal Ziakam;IND;PF;31;87;43;;
Ivica Zubac;Ivice Zubak;IND;C;28;85;;;
Andrew Nembhard;Andlew Nemphard;IND;PG;26;83;;;
Jarace Walker;Jaraci Walkel;IND;PF;22;81;;;
Aaron Nesmith;Earon Nezmith;IND;SF;26;81;;;
T.J. McConnell;T.Y. McKonnell;IND;PG;33;80;;;
Jay Huff;Jey Huff;IND;C;27;80;;;
Obi Toppin;Opi Tuppin;IND;PF;27;79;;;
Ben Sheppard;Bin Zheppard;IND;SG;24;78;;;
Micah Potter;Nicah Pottel;IND;C;27;78;;;
Quenton Jackson;Quentun Jacksun;IND;PG;27;78;;;
Ethan Thompson;Ithan Thompzon;IND;SG;26;78;;;
Johnny Furphy;Yohnny Fulphy;IND;SG;21;77;;;
Kam Jones;Kem Jonez;IND;SG;23;75;;;
Kobe Brown;Kobi Bruwn;IND;PF;26;74;;;
Jalen Slawson;Jalin Zlawson;IND;SF;26;73;;;
Taelon Peter;Tailon Petel;IND;SG;23;73;;;
Garrison Mathews;Garlison Mathiws;IND;SG;29;72;;;
Cody Martin;Coty Mertin;IND;SF;30;72;;;
Monte Morris;Munte Murris;IND;PG;30;70;;;
James Wiseman;Jemes Wizeman;IND;C;24;68;;;
Kawhi Leonard;Kewhi Leonart;LAC;SF;34;94;2;;
Darius Garland;Derius Gerland;LAC;PG;26;83;10;;
Bennedict Mathurin;Pennedict Mathulin;LAC;SF;23;82;0;;
John Collins;Yohn Cullins;LAC;PF;28;82;;;
Kris Dunn;Kriz Tunn;LAC;PG;31;82;;;
Derrick Jones Jr.;Derrikk Jonez Jr.;LAC;SF;28;79;;;
Jordan Miller;Jurdan Niller;LAC;SF;26;79;;;
Brook Lopez;Blook Lupez;LAC;C;37;78;;;
Kobe Sanders;Kope Sandirs;LAC;SG;23;78;;;
Bogdan Bogdanović;Bugdan Bugdanović;LAC;SG;33;78;;;
Isaiah Jackson;Iseiah Jackzon;LAC;C;24;76;;;
Bradley Beal;Bladley Beel;LAC;SG;32;76;;;
Chris Paul;Chlis Peul;LAC;PG;40;74;3;;
Nicolas Batum;Nicoles Betum;LAC;PF;37;73;;;
Yanic Konan Niederhäuser;Yanic Kunen Niederhäuser;LAC;C;22;70;;;
Cam Christie;Kam Khristie;LAC;SG;20;69;;;
TyTy Washington Jr.;TyTy Wazhingtun Jr.;LAC;PG;24;68;;;
Norchad Omier;Nolchad Omiel;LAC;PF;24;67;;;
Sean Pedulla;Seen Petulla;LAC;PG;23;67;;;
Jahmyl Telfort;Jahnyl Telfolt;LAC;PF;24;65;;;
Luka Dončić;Luke dancic;LAL;PG;26;98;77;;
LeBron James;LeBrun Janes;LAL;SF;41;92;23;;
Austin Reaves;Eustin Riaves;LAL;SG;27;88;15;;
Marcus Smart;Narcus Smalt;LAL;SG;31;82;;;
Deandre Ayton;Teandre Eyton;LAL;C;27;80;22;;
Jake LaRavia;Yake LaRevia;LAL;PF;24;80;;;
Luke Kennard;Luki Kennald;LAL;SG;29;79;;;
Rui Hachimura;Rui Hachinula;LAL;PF;27;78;28;;
Jarred Vanderbilt;Jarled Banderbilt;LAL;PF;26;76;;;
Jaxson Hayes;Jexson Hayez;LAL;C;25;75;;;
Nick Smith Jr.;Nikk Snith Jr.;LAL;SG;21;72;;;
Dalton Knecht;Daltun Knekht;LAL;SF;24;71;;;
Bronny James;Brunny Jemes;LAL;SG;21;70;;;
Drew Timme;Driw Timmi;LAL;PF;25;69;;;
Kobe Bufkin;Kobi Pufkin;LAL;SG;22;68;;;
Chris Mañon;Chriz Meñon;LAL;SG;24;68;;;
Maxi Kleber;Mexi Kliber;LAL;PF;34;68;;;
Adou Thiero;Aduu Thieru;LAL;SF;21;68;;;
Ty Jerome;Ty Jirone;MEM;SG;28;85;;;
Ja Morant;Ja Molent;MEM;PG;26;84;12;;
Cedric Coward;Kedric Cowald;MEM;SG;22;83;;;
Zach Edey;Zech Etey;MEM;C;23;83;;;
Santi Aldama;Senti Eldama;MEM;PF;25;83;;;
GG Jackson II;GG Jecksun II;MEM;PF;21;81;;;
Javon Small;Yavon Snall;MEM;PG;23;81;;;
Jaylen Wells;Jeylen Wills;MEM;SG;22;81;;;
Cam Spencer;Can Spenker;MEM;SG;25;80;;;
Kentavious Caldwell-Pope;Kentaviuus Caltwell-Pope;MEM;SG;32;80;;;
Jahmai Mashack;Jehmai Mashakk;MEM;SG;23;80;;;
Olivier-Maxence Prosper;Olibier-Maxence Plosper;MEM;PF;23;79;;;
Walter Clayton;Waltir Claytun;MEM;PG;22;78;;;
Lawson Lovering;Lawzon Loveling;MEM;C;22;78;;;
Taylor Hendricks;Taylur Hendrikks;MEM;PF;22;78;;;
Scotty Pippen Jr.;Scutty Pippen Yr.;MEM;PG;25;77;;;
Rayan Rupert;Rayen Rupelt;MEM;SG;21;76;;;
Dariq Whitehead;Tariq Whitehiad;MEM;SF;21;72;;;
Brandon Clarke;Prandon Klarke;MEM;PF;29;71;;;
Toby Okani;Topy Okeni;MEM;SG;24;70;;;
DeJon Jarreau;DiJon Jalreau;MEM;SG;28;69;;;
Taj Gibson;Tej Gibzon;MEM;C;40;69;;;
Adama-Alpha Bal;Adema-Elpha Bal;MEM;SG;22;68;;;
Lucas Williamson;Lucaz Williemson;MEM;SG;27;67;;;
Bam Adebayo;Bem Adibayo;MIA;C;28;89;13;;
Tyler Herro;Tylir Herru;MIA;SG;26;87;14;;
Andrew Wiggins;Endrew Wigginz;MIA;SF;30;84;;;
Norman Powell;Nornan Puwell;MIA;SG;32;84;;;
Davion Mitchell;Devion Nitchell;MIA;PG;27;81;;;
Pelle Larsson;Pille Lalsson;MIA;SG;24;81;;;
Jaime Jaquez Jr.;Jaimi Jequez Jr.;MIA;SF;24;80;;;
Kel'el Ware;Kel'il Wale;MIA;C;21;80;;;
Dru Smith;Tru Snith;MIA;SG;28;79;;;
Nikola Jović;Nikole Juvić;MIA;PF;22;78;;;
Kasparas Jakučionis;Kesparas Jakučioniz;MIA;PG;19;78;;;
Simone Fontecchio;Zimone Fonticchio;MIA;SF;30;78;;;
Myron Gardner;Myrun Gartner;MIA;SF;24;73;;;
Keshad Johnson;Kezhad Johnzon;MIA;SF;24;72;;;
Jahmir Young;Yahmir Yuung;MIA;PG;25;67;;;
Trevor Keels;Trevol Keils;MIA;SG;22;66;;;
Vladislav Goldin;Vledislav Goltin;MIA;C;24;65;;;
Giannis Antetokounmpo;Gianniz Antetukounmpo;MIL;PF;31;96;34;;
Kevin Porter Jr.;Kivin Porter Jl.;MIL;PG;25;83;;;
Ryan Rollins;Lyan Rullins;MIL;PG;23;83;;;
Myles Turner;Nyles Turnel;MIL;C;29;81;33;;
Kyle Kuzma;Kyli Kuzme;MIL;PF;30;81;;;
Bobby Portis;Pobby Portiz;MIL;PF;30;80;;;
Taurean Prince;Taurian Princi;MIL;SF;31;79;;;
A.J. Green;E.J. Gleen;MIL;SG;26;79;;;
Cole Anthony;Coli Anthuny;MIL;PG;25;79;;;
Cam Thomas;Can Thomes;MIL;SG;24;77;;;
Ousmane Dieng;Uusmane Tieng;MIL;C;22;77;;;
Gary Trent Jr.;Gery Trint Jr.;MIL;SG;27;75;;;
Jericho Sims;Yericho Simz;MIL;C;27;74;;;
Pete Nance;Pite Nence;MIL;PF;25;73;;;
Cormac Ryan;Curmac Ryen;MIL;SG;27;72;;;
Gary Harris;Galy Halris;MIL;SG;31;71;;;
Andre Jackson Jr.;Andri Jeckson Jr.;MIL;SG;24;70;;;
Alex Antetokounmpo;Alex Antetokuunnpo;MIL;SF;24;68;;;
Mark Sears;Merk Searz;MIL;PG;23;68;;;
Thanasis Antetokounmpo;Thanasiz Antetokuunmpo;MIL;SF;33;68;;;
Anthony Edwards;Anthuny Edwalds;MIN;SG;24;94;5;;
Julius Randle;Juliuz Rantle;MIN;PF;31;86;30;;
Donte DiVincenzo;Dunte TiVincenzo;MIN;SG;29;83;;;
Rudy Gobert;Ruty Gobirt;MIN;C;33;83;27;;
Jaden McDaniels;Jeden McDanielz;MIN;PF;25;80;;;
Naz Reid;Nez Leid;MIN;C;26;80;;;
Ayo Dosunmu;Eyo Dosunnu;MIN;SG;26;80;;;
Kyle Anderson;Kyli Anderzon;MIN;SF;32;79;;;
Bones Hyland;Bunes Hylend;MIN;PG;25;78;;;
Mike Conley;Nike Cunley;MIN;PG;38;76;;;
Enrique Freeman;Enriqui Fleeman;MIN;PF;25;72;;;
Jaylen Clark;Jaylin Klark;MIN;SG;24;72;;;
Terrence Shannon Jr.;Telrence Shannon Yr.;MIN;SG;25;72;;;
Zyon Pullin;Zyun Pullin;MIN;SG;24;71;;;
Joan Beringer;Juan Peringer;MIN;PF;19;70;;;
Julian Phillips;Yulian Phillipz;MIN;SF;22;70;;;
Rocco Zikarsky;Rocko Zikersky;MIN;C;19;70;;;
Joe Ingles;Yoe Inglis;MIN;SF;38;68;;;
Johnny Juzang;Yohnny Juzeng;MIN;SG;24;66;;;
Trey Murphy III;Triy Nurphy III;NOP;SF;25;85;;;
Dejounte Murray;Dijounte Mulray;NOP;PG;29;84;;;
Saddiq Bey;Sadtiq Pey;NOP;SF;26;83;;;
Zion Williamson;Ziun Willianson;NOP;PF;25;83;1;;
Derik Queen;Dirik Quein;NOP;C;21;81;;;
Herbert Jones;Hirbert Jonis;NOP;SF;27;81;;;
Jeremiah Fears;Jereniah Fearz;NOP;PG;19;80;;;
Jordan Poole;Joldan Puole;NOP;PG;26;80;;;
Josh Oduro;Jush Odulo;NOP;PF;25;78;;;
Bryce McGowens;Bryci McGowenz;NOP;SG;23;78;;;
Karlo Matković;Karlu Metković;NOP;PF;24;76;;;
Yves Missi;Ybes Miszi;NOP;C;21;76;;;
DeAndre Jordan;DiAndre Joldan;NOP;C;37;74;;;
Trey Alexander;Triy Alexanter;NOP;SG;22;74;;;
Micah Peavy;Miceh Peaby;NOP;SG;24;73;;;
Kevon Looney;Kevun Luoney;NOP;C;29;73;;;
Jordan Hawkins;Jorden Hawkinz;NOP;SG;23;73;;;
Hunter Dickinson;Huntel Dikkinson;NOP;C;25;67;;;
Jalen Brunson;Yalen Blunson;NYK;PG;29;96;11;;
Karl-Anthony Towns;Kall-Anthony Townz;NYK;C;30;90;32;;
OG Anunoby;OG Enunuby;NYK;PF;28;84;8;;
Mikal Bridges;Nikal Britges;NYK;SF;29;84;25;;
Josh Hart;Yosh Halt;NYK;SF;30;83;;;
Miles McBride;Milis McBlide;NYK;SG;25;80;;;
Jose Alvarado;Josi Alvarato;NYK;PG;27;80;;;
Landry Shamet;Lantry Shamit;NYK;SG;28;78;;;
Mitchell Robinson;Mitkhell Robinsun;NYK;C;27;78;;;
Jordan Clarkson;Jortan Clarkzon;NYK;SG;33;76;;;
Tyler Kolek;Tylel Kulek;NYK;PG;24;74;;;
Mohamed Diawara;Mohaned Diaware;NYK;SF;20;71;;;
Jeremy Sochan;Jelemy Sochen;NYK;PF;22;70;;;
Kevin McCullar Jr.;Kebin MkCullar Jr.;NYK;SF;24;70;;;
Ariel Hukporti;Ariil Hukpolti;NYK;C;23;68;;;
Dillon Jones;Dillun Yones;NYK;SF;24;67;;;
Pacôme Dadiet;Pacômi Dadiit;NYK;SG;20;66;;;
Trey Jemison;Tley Jemisun;NYK;C;26;66;;;
Tosan Evbuomwan;Tosen Ebbuomwan;NYK;SF;24;65;;;
Shai Gilgeous-Alexander;Shaki Gilgeuus-Alexander;OKC;PG;27;98;2;;
Chet Holmgren;Khet Holmgrin;OKC;PF;23;87;7;;
Jalen Williams;Yalen Williems;OKC;SG;24;86;8;;
Ajay Mitchell;Ayay Nitchell;OKC;SG;23;84;;;
Cason Wallace;Ceson Wellace;OKC;SG;22;83;;;
Isaiah Hartenstein;Isaieh Hertenstein;OKC;C;27;81;;;
Aaron Wiggins;Earon Wigginz;OKC;SG;27;81;;;
Jaylin Williams;Jeylin Willians;OKC;PF;23;80;;;
Isaiah Joe;Izaiah Yoe;OKC;SG;26;80;;;
Alex Caruso;Alix Carusu;OKC;SG;31;79;;;
Luguentz Dort;Luguintz Tort;OKC;SF;26;79;;;
Nikola Topić;Nikula Tupić;OKC;PG;20;77;;;
Jared McCain;Jered NcCain;OKC;SG;21;77;;;
Kenrich Williams;Kenlich Willians;OKC;PF;31;76;;;
Payton Sandfort;Peyton Sendfort;OKC;SF;23;76;;;
Branden Carlson;Pranden Callson;OKC;C;26;73;;;
Brooks Barnhizer;Bruoks Balnhizer;OKC;SG;23;69;;;
Buddy Boeheim;Budty Bueheim;OKC;SF;26;66;;;
Paolo Banchero;Peolo Bancheru;ORL;PF;23;89;5;;
Desmond Bane;Tesmond Pane;ORL;SG;27;86;;;
Franz Wagner;Frenz Wegner;ORL;SF;24;84;22;;
Anthony Black;Anthuny Plack;ORL;PG;22;84;;;
Wendell Carter Jr.;Wentell Carter Jl.;ORL;C;26;81;;;
Jalen Suggs;Jalin Suggz;ORL;PG;24;80;;;
Tristan Da Silva;Tristen Da Silve;ORL;SF;24;78;;;
Jevon Carter;Jebon Certer;ORL;PG;30;76;;;
Goga Bitadze;Guga Bitatze;ORL;C;26;76;;;
Noah Penda;Nuah Pinda;ORL;SF;21;74;;;
Moritz Wagner;Muritz Wegner;ORL;C;28;74;;;
Jett Howard;Yett Huward;ORL;SF;22;73;;;
Jamal Cain;Jamel Kain;ORL;SF;26;73;;;
Jase Richardson;Jasi Richaldson;ORL;SG;20;72;;;
Jonathan Isaac;Jonathen Iseac;ORL;PF;28;70;;;
Alex Morales;Elex Molales;ORL;PG;28;67;;;
Colin Castleton;Culin Kastleton;ORL;C;25;66;;;
Orlando Robinson;Urlando Lobinson;ORL;C;25;66;;;
Tyrese Maxey;Tyrise Maxiy;PHI;PG;25;92;0;;
